,Unnamed: 0,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
1013,1014,beach,1.29,0.5333,1.29,1.29,39.99,74.99,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
1105,1106,pier,1.29,0.4522,1.29,1.29,39.99,74.99,0.5333,0.4522,0.0051,1.0266,416.66668,6.0322865736282365,0.0
1157,1158,pier,1.29,0.4522,1.29,1.29,39.99,74.99,0.5333,0.4522,0.1665,0.3975,416.66668,6.0322865736282365,0.0
275,276,pier,2.29,0.0789,2.29,2.29,2.29,31.29,0.0678,0.0789,0.0971,0.1648,1249.9998,7.130898670296334,0.0
287,288,pier,2.29,0.0789,2.29,2.29,2.29,31.29,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
1012,1013,beach,2.29,0.5333,2.29,2.29,70.99,105.99,0.5333,0.4522,0.1665,0.3975,1249.9998,7.130898670296334,0.0
1116,1117,pier,2.29,0.4522,2.29,2.29,70.99,105.99,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
339,340,boat,2.29,0.0276,2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1249.9998,7.130898670296334,0.0
1155,1156,pier,2.29,0.4522,2.29,2.29,70.99,105.99,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
336,337,beach,2.29,0.0678,2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1249.9998,7.130898670296334,0.0
323,324,pier,2.29,0.0503,2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
322,323,pier,2.29,0.0503,2.29,2.29,2.29,27.29,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
981,982,pier,2.322,0.4522,2.322,2.322,55.47,90.47,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
985,986,pier,3.096,0.4522,3.096,3.096,43.86,78.86,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
1002,1003,boat,3.096,0.0531,18.576,18.576,3.096,28.096,0.2537,0.1498,0.0531,0.0052,416.66668,6.0322865736282365,15.48
328,329,boat,3.29,0.023,3.29,3.29,3.29,28.29,0.0678,0.0503,0.023,0.1648,2083.3332,7.641724390062335,0.0
291,292,boat,3.29,0.1574,75.012,75.012,3.29,27.29,0.1049,0.0451,0.1574,0.4671,2083.3332,7.641724390062335,71.722
338,339,boat,3.29,0.0276,3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2083.3332,7.641724390062335,0.0
273,274,boat,3.29,0.0014,3.29,3.29,3.29,32.29,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,0.0
271,272,boat,3.29,0.1665,164.5,164.5,3.29,38.29,0.5333,0.4522,0.1665,0.3975,2083.3332,7.641724390062335,161.21
1011,1012,beach,3.29,0.5333,3.29,3.29,101.99,136.99,0.5333,0.4522,0.0051,1.0266,2083.3332,7.641724390062335,0.0
1130,1131,pier,3.29,0.4522,3.29,3.29,101.99,136.99,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1129,1130,boat,3.29,0.0531,37.506,37.506,3.29,28.29,0.2537,0.1498,0.0531,0.0052,2083.3332,7.641724390062335,34.216
1110,1111,pier,3.29,0.4522,3.29,3.29,101.99,136.99,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1010,1011,boat,3.29,0.6817,37.506,37.506,3.29,28.29,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,34.216
302,303,pier,3.29,0.0503,3.29,3.29,3.29,28.29,0.0678,0.0503,0.0276,0.0029,2083.3332,7.641724390062335,0.0
319,320,pier,3.29,0.0052,3.29,3.29,3.29,28.29,0.0678,0.0052,0.1491,0.2421,2083.3332,7.641724390062335,0.0
850,851,boat,3.87,0.0559,23.994,23.994,3.87,38.87,0.0678,0.0789,0.0559,0.6456,416.66668,6.0322865736282365,20.124
891,892,pier,3.87,0.4522,3.87,3.87,47.73,82.73,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
890,891,boat,3.87,0.6817,22.446,22.446,3.87,28.87,0.2537,0.1498,0.6817,2.3014,416.66668,6.0322865736282365,18.576
878,879,boat,3.87,0.7369,22.446,22.446,3.87,28.87,0.2537,0.1498,0.7369,2.3101,416.66668,6.0322865736282365,18.576
868,869,boat,3.87,0.0022,45.408,45.408,3.87,33.37,0.0678,0.0503,0.0022,0.324,416.66668,6.0322865736282365,41.538000000000004
864,865,pier,3.87,0.1498,3.87,3.87,16.77,35.27,0.2537,0.1498,0.0233,0.0219,416.66668,6.0322865736282365,0.0
828,829,pier,3.87,0.0014,3.87,3.87,16.77,35.27,0.2537,0.0014,0.0626,0.2773,416.66668,6.0322865736282365,0.0
825,826,pier,3.87,0.1498,3.87,3.87,16.77,35.27,0.2537,0.1498,0.0233,0.0219,416.66668,6.0322865736282365,0.0
771,772,pier,3.87,0.1498,3.87,3.87,12.9,31.4,0.2537,0.1498,0.2339,0.6288,416.66668,6.0322865736282365,0.0
